Drug_Name,Category,Dosage_Form,Strength,Manufacturer,Indication,Classification
Azithromycin,Diuretic,Capsule,50mcg,Novartis,High cholesterol management,Prescription
Hydrocodone,Diuretic,Extended Release Tablet,50mg,Gilead Sciences,Hypertension and heart failure,Prescription
Gabapentin,Anticonvulsant,Capsule,250mg,Pfizer,Hypertension management,Prescription
Dexamethasone,Antifungal,Topical Solution,500mg,Johnson & Johnson,Moderate to severe pain management,Prescription
Hydrocortisone Cream,Antiflatulent,Chewable Tablet,50mg,GSK,Insomnia and sleep aid,Over-the-Counter
Meclizine,Antacid/PPI,Drops,325mg,P&G,Blood clot prevention,Over-the-Counter
Clotrimazole,Antiflatulent,Gel,500mg,Chattem,Insomnia and sleep aid,Over-the-Counter
Levothyroxine,Antidiabetic,Patch,0.25mg,Gilead Sciences,Inflammation and autoimmune disorders,Prescription
Benzoyl Peroxide,Antiplatelet,Spray,500mg,Johnson & Johnson,Blood clot prevention,Over-the-Counter
Pregabalin,ACE Inhibitor,Topical Solution,0.5mg,Novartis,Epilepsy and neuropathic pain,Prescription
Famotidine,Laxative,Spray,1%,GSK,Blood clot prevention,Over-the-Counter
Benzoyl Peroxide,Antihistamine,Patch,5mg,3M Healthcare,Gas and bloating relief,Over-the-Counter
Doxycycline,Opioid Analgesic,Sublingual Tablet,500mg,Johnson & Johnson,Type 2 diabetes management,Prescription
Gabapentin,Antidiabetic,Tablet,250mg,Boehringer Ingelheim,Edema and hypertension,Prescription
Amoxicillin,Antidiabetic,Patch,5mg,GlaxoSmithKline,Inflammation and autoimmune disorders,Prescription
Neosporin,Antiemetic,Patch,10mg,P&G,Blood clot prevention,Over-the-Counter
Simethicone,Expectorant,Liquid,150mg,P&G,Allergic rhinitis and hives,Over-the-Counter
Warfarin,Antiplatelet,Sublingual Tablet,75mg,Abbott,Hypertension and angina,Prescription
Gabapentin,Anxiolytic/Benzodiazepine,IV Infusion,0.5mg,Novartis,High cholesterol management,Prescription
Lidocaine Cream,Antifungal,Lozenge,5mg,Novartis,Cough suppression,Over-the-Counter
Doxycycline,Anxiolytic/Benzodiazepine,Extended Release Tablet,200mcg,GlaxoSmithKline,Inflammation and autoimmune disorders,Prescription
Dextromethorphan,Antihistamine,Gel,500mg,Johnson & Johnson,Pain relief and fever reduction,Over-the-Counter
Aspirin,Analgesic,Powder,10mg,Prestige Brands,GERD and peptic ulcer,Over-the-Counter
Bismuth Subsalicylate,Decongestant,Drops,125mg,P&G,Skin inflammation and itching,Over-the-Counter
Aluminum Hydroxide,Cough Suppressant,Patch,250mg,Chattem,Heartburn and indigestion,Over-the-Counter
Hydrocodone,Statin,Extended Release Tablet,150mg,Merck,Type 2 diabetes management,Prescription
Metronidazole,Beta Blocker,Patch,20mg,Boehringer Ingelheim,Inflammation and autoimmune disorders,Prescription
Benzoyl Peroxide,Sleep Aid,Cream,250mg,Prestige Brands,Diarrhea treatment,Over-the-Counter
Acetaminophen,Antiemetic,Patch,5mg,Pfizer,GERD and peptic ulcer,Over-the-Counter
Aluminum Hydroxide,Antidiarrheal,Powder,250mg,Novartis,Heartburn and indigestion,Over-the-Counter
Diphenhydramine,Antiflatulent,Gel,1%,3M Healthcare,Fungal skin infections,Over-the-Counter
Simethicone,Antifungal,Tablet,5%,Novartis,Allergic rhinitis and hives,Over-the-Counter
Lidocaine Cream,Analgesic,Patch,10mg,Prestige Brands,Nasal congestion relief,Over-the-Counter
Miconazole,Antacid,Tablet,2%,Novartis,Gas and bloating relief,Over-the-Counter
Bismuth Subsalicylate,Antacid/PPI,Lozenge,100mg,Reckitt,Chest congestion and mucus relief,Over-the-Counter
Pseudoephedrine,Laxative,Drops,25mg,Unilever,Fungal skin infections,Over-the-Counter
Neosporin,Expectorant,Chewable Tablet,10mg,Johnson & Johnson,Acne treatment,Over-the-Counter
Atorvastatin,Antifungal,Nasal Spray,50mg,Johnson & Johnson,Edema and hypertension,Prescription
Zinc Oxide,Topical Corticosteroid,Ointment,5%,Unilever,GERD and peptic ulcer,Over-the-Counter
Loratadine,Antacid,Capsule,500mg,Reckitt,Nasal congestion relief,Over-the-Counter
Neosporin,Skin Protectant,Spray,400mg,Reckitt,Heartburn and indigestion,Over-the-Counter
Prednisone,Corticosteroid,Sublingual Tablet,500mg,Novartis,Hypertension and heart failure,Prescription
Trimethoprim,Diuretic,IV Infusion,200mg,AstraZeneca,Hypertension and heart failure,Prescription
Magnesium Hydroxide,Antacid,Drops,250mg,GSK,Heartburn and indigestion,Over-the-Counter
Dexamethasone,ACE Inhibitor,Patch,1000mg,Gilead Sciences,Type 2 diabetes management,Prescription
Docusate Sodium,Antacid/PPI,Lozenge,250mg,Prestige Brands,Acne treatment,Over-the-Counter
Acetaminophen,Antifungal,Patch,5%,Pfizer,Cough suppression,Over-the-Counter
Aluminum Hydroxide,Expectorant,Cream,150mg,Chattem,Chest congestion and mucus relief,Over-the-Counter
Magnesium Hydroxide,Topical Anesthetic,Powder,150mg,P&G,Chest congestion and mucus relief,Over-the-Counter
Prednisone,Bronchodilator,Patch,0.25mg,Johnson & Johnson,Asthma and bronchospasm,Prescription
Clindamycin,Antiplatelet,Suppository,100mcg,Pfizer,Bacterial infections treatment,Prescription
Miconazole,Topical Antibiotic,Ointment,20mg,P&G,Cough suppression,Over-the-Counter
Acetaminophen,Sleep Aid,Drops,5mg,Sanofi,Gas and bloating relief,Over-the-Counter
Cetirizine,Topical Anesthetic,Drops,400mg,Reckitt,Fungal skin infections,Over-the-Counter
Escitalopram,Opioid Analgesic,Extended Release Tablet,50mg,Johnson & Johnson,Depression and anxiety disorders,Prescription
Albuterol,Anxiolytic/Benzodiazepine,Topical Solution,50mcg,Abbott,Heart attack and stroke prevention,Prescription
Levothyroxine,Anxiolytic/Benzodiazepine,Nasal Spray,10mg,Amgen,Inflammation and autoimmune disorders,Prescription
Metronidazole,Bronchodilator,Topical Solution,10mg,Johnson & Johnson,Asthma and bronchospasm,Prescription
Loperamide,Antidiarrheal,Liquid,1%,Chattem,Nasal congestion relief,Over-the-Counter
Losartan,PPI,Capsule,150mg,Roche,Epilepsy and neuropathic pain,Prescription
Clopidogrel,Antiplatelet,Inhaler,150mg,AstraZeneca,Bacterial infections treatment,Prescription
Miconazole,Antidiarrheal,Chewable Tablet,10mg,Novartis,Motion sickness and nausea,Over-the-Counter
Dexamethasone,PPI,Suppository,0.5mg,AstraZeneca,Asthma and bronchospasm,Prescription
Famotidine,Expectorant,Tablet,25mg,3M Healthcare,Fungal skin infections,Over-the-Counter
Metronidazole,Anticoagulant,Sublingual Tablet,75mg,Sanofi,High cholesterol management,Prescription
Ibuprofen,Analgesic,Drops,125mg,Reckitt,Allergic rhinitis and hives,Over-the-Counter
Ranitidine,Sleep Aid,Drops,5mg,P&G,Constipation relief,Over-the-Counter
Clotrimazole,Antacid/H2 Blocker,Drops,150mg,Johnson & Johnson,Minor pain and itching relief,Over-the-Counter
Amoxicillin,Antidepressant/SSRI,Liquid,250mg,Abbott,Type 2 diabetes management,Prescription
Cetirizine,Topical Anesthetic,Lozenge,400mg,Novartis,Gas and bloating relief,Over-the-Counter
Aluminum Hydroxide,Laxative,Ointment,400mg,Johnson & Johnson,Fungal skin infections,Over-the-Counter
Pseudoephedrine,Antiflatulent,Spray,1%,P&G,Minor pain and itching relief,Over-the-Counter
Amlodipine,Antidepressant/SSRI,Tablet,50mcg,Roche,GERD and peptic ulcer disease,Prescription
Alprazolam,Beta Blocker,Capsule,400mcg,Johnson & Johnson,High cholesterol management,Prescription
Sertraline,Opioid Analgesic,Tablet,400mcg,GlaxoSmithKline,Hypertension management,Prescription
Warfarin,Anxiolytic/Benzodiazepine,Extended Release Tablet,5mg,Pfizer,GERD and peptic ulcer disease,Prescription
Meclizine,Antiplatelet,Drops,1%,Pfizer,Fungal skin infections,Over-the-Counter
Atorvastatin,ARB,Topical Solution,20mg,Amgen,Edema and hypertension,Prescription
Ibuprofen,Antiplatelet,Cream,10mg,GSK,Motion sickness and nausea,Over-the-Counter
Clotrimazole,Antacid,Chewable Tablet,500mg,Johnson & Johnson,Heartburn and indigestion,Over-the-Counter
Magnesium Hydroxide,Antiflatulent,Chewable Tablet,400mg,Prestige Brands,Diarrhea treatment,Over-the-Counter
Montelukast,Anxiolytic/Benzodiazepine,Extended Release Tablet,0.25mg,Pfizer,GERD and peptic ulcer disease,Prescription
Loratadine,Antiemetic,Ointment,5%,3M Healthcare,Diarrhea treatment,Over-the-Counter
Diphenhydramine,Antacid/H2 Blocker,Patch,125mg,GSK,Heartburn and acid reflux,Over-the-Counter
Albuterol,Anticonvulsant,Topical Solution,400mcg,Sanofi,Hypothyroidism treatment,Prescription
Alprazolam,ACE Inhibitor,Suppository,25mg,Novartis,Hypertension management,Prescription
Atorvastatin,Calcium Channel Blocker,Patch,5mg,GlaxoSmithKline,Bacterial infections treatment,Prescription
Lisinopril,Leukotriene Inhibitor,Capsule,75mg,Merck,Hypertension and heart failure,Prescription
Escitalopram,Leukotriene Inhibitor,Liquid,25mg,Merck,Hypothyroidism treatment,Prescription
Clopidogrel,Anticoagulant,Extended Release Tablet,25mg,Eli Lilly,GERD and peptic ulcer disease,Prescription
Guaifenesin,Antiflatulent,Patch,250mg,Prestige Brands,Fungal skin infections,Over-the-Counter
Ranitidine,Topical Antibiotic,Cream,150mg,P&G,Pain relief and fever reduction,Over-the-Counter
Fluoxetine,Antifungal,Inhaler,0.5mg,Roche,High cholesterol management,Prescription
Aluminum Hydroxide,Skin Protectant,Chewable Tablet,500mg,Novartis,Motion sickness and nausea,Over-the-Counter
Amlodipine,Antiplatelet,Inhaler,0.25mg,Pfizer,Hypertension and angina,Prescription
Metronidazole,Calcium Channel Blocker,IV Infusion,50mcg,Pfizer,Hypertension and heart failure,Prescription
Pantoprazole,Calcium Channel Blocker,Suppository,500mg,Amgen,Blood clot prevention,Prescription
Oxycodone,Opioid Analgesic,Topical Solution,1mg,Roche,High cholesterol management,Prescription
Azithromycin,PPI,Inhaler,20mg,Roche,Hypertension and heart failure,Prescription
Furosemide,Antiplatelet,Inhaler,2mg,Roche,Hypertension and angina,Prescription
Trimethoprim,Thyroid Hormone,Liquid,200mg,Sanofi,Blood clot prevention,Prescription
Pseudoephedrine,Expectorant,Ointment,25mg,Pfizer,Minor wound infection prevention,Over-the-Counter
Omeprazole,Cough Suppressant,Tablet,325mg,Novartis,Gas and bloating relief,Over-the-Counter
Fluoxetine,Anticonvulsant,Suppository,5mg,Novartis,Heart attack and stroke prevention,Prescription
Fluoxetine,Opioid Analgesic,Liquid,250mg,Boehringer Ingelheim,Inflammation and autoimmune disorders,Prescription
Acetaminophen,Laxative,Drops,2%,GSK,Cough suppression,Over-the-Counter
Famotidine,Antiemetic,Patch,150mg,3M Healthcare,Motion sickness and nausea,Over-the-Counter
Gabapentin,Corticosteroid,IV Infusion,5mg,Sanofi,GERD and peptic ulcer disease,Prescription
Levothyroxine,PPI,Extended Release Tablet,150mg,Roche,Asthma and allergic rhinitis,Prescription
Metoprolol,Statin,Capsule,1000mg,Amgen,Inflammation and autoimmune disorders,Prescription
Doxycycline,ARB,Tablet,50mcg,AstraZeneca,GERD and peptic ulcer disease,Prescription
Cetirizine,Antacid/PPI,Tablet,1%,Chattem,Insomnia and sleep aid,Over-the-Counter
Lisinopril,ARB,Patch,150mg,AstraZeneca,Heart attack and stroke prevention,Prescription
Prednisone,Antibiotic,Sublingual Tablet,0.25mg,Pfizer,Blood clot prevention,Prescription
Hydrocortisone Cream,Decongestant,Patch,5mg,Sanofi,Cough suppression,Over-the-Counter
Meclizine,Antiemetic,Ointment,25mg,Sanofi,Heartburn and acid reflux,Over-the-Counter
Loratadine,Skin Protectant,Liquid,125mg,Pfizer,Acne treatment,Over-the-Counter
Pseudoephedrine,Topical Corticosteroid,Cream,5%,Unilever,Minor wound infection prevention,Over-the-Counter
Diphenhydramine,Antacid,Ointment,100mg,Prestige Brands,Allergic rhinitis and hives,Over-the-Counter
Benzoyl Peroxide,Analgesic,Patch,400mg,Reckitt,Minor cuts and skin protection,Over-the-Counter
Aspirin,Expectorant,Tablet,325mg,Chattem,Heartburn and indigestion,Over-the-Counter
Oxycodone,Antibiotic,IV Infusion,2mg,Bristol-Myers Squibb,Asthma and bronchospasm,Prescription
Prednisone,Antifungal,Suppository,5mg,Gilead Sciences,Type 2 diabetes management,Prescription
Hydrocortisone Cream,Skin Protectant,Powder,325mg,GSK,Minor wound infection prevention,Over-the-Counter
Loperamide,Antacid/PPI,Gel,50mg,Prestige Brands,Allergic rhinitis and hives,Over-the-Counter
Cetirizine,Antacid/PPI,Drops,150mg,3M Healthcare,Minor wound infection prevention,Over-the-Counter
Diphenhydramine,Acne Treatment,Chewable Tablet,400mg,GSK,Chest congestion and mucus relief,Over-the-Counter
Calcium Carbonate,Antidiarrheal,Cream,125mg,Unilever,Diarrhea treatment,Over-the-Counter
Doxycycline,Antidiabetic,Inhaler,5mg,Abbott,Hypothyroidism treatment,Prescription
Oxycodone,Beta Blocker,Suppository,50mg,Boehringer Ingelheim,Asthma and allergic rhinitis,Prescription
Montelukast,Thyroid Hormone,Suppository,20mg,Gilead Sciences,GERD and peptic ulcer disease,Prescription
Loratadine,Antifungal,Tablet,2%,Sanofi,Insomnia and sleep aid,Over-the-Counter
Guaifenesin,Antifungal,Capsule,200mg,3M Healthcare,Minor pain and itching relief,Over-the-Counter
Albuterol,Antidiabetic,Liquid,100mcg,GlaxoSmithKline,Moderate to severe pain management,Prescription
Sertraline,Bronchodilator,Extended Release Tablet,75mg,Roche,Hypertension management,Prescription
Pregabalin,Corticosteroid,Injection,200mcg,Abbott,Depression and anxiety disorders,Prescription
Aluminum Hydroxide,Cough Suppressant,Cream,5%,Unilever,Insomnia and sleep aid,Over-the-Counter
Magnesium Hydroxide,Topical Antibiotic,Gel,5%,Prestige Brands,Cough suppression,Over-the-Counter
Warfarin,Calcium Channel Blocker,Sublingual Tablet,1000mg,Abbott,Hypothyroidism treatment,Prescription
Furosemide,Antiplatelet,Nasal Spray,250mg,Abbott,Inflammation and autoimmune disorders,Prescription
Dextromethorphan,Antihistamine,Capsule,150mg,Pfizer,GERD and peptic ulcer,Over-the-Counter
Diphenhydramine,Antiflatulent,Spray,50mg,Unilever,Nasal congestion relief,Over-the-Counter
Oxycodone,Beta Blocker,Topical Solution,25mg,Sanofi,Hypertension management,Prescription
Ranitidine,Antiplatelet,Ointment,20mg,Sanofi,Blood clot prevention,Over-the-Counter
Montelukast,ARB,Sublingual Tablet,75mg,Pfizer,Hypertension and heart failure,Prescription
Doxycycline,Statin,Nasal Spray,200mcg,Gilead Sciences,Asthma and allergic rhinitis,Prescription
Losartan,Antifungal,Extended Release Tablet,250mg,Merck,Moderate to severe pain management,Prescription
Bacitracin,Cough Suppressant,Patch,400mg,Reckitt,Heartburn and acid reflux,Over-the-Counter
Dexamethasone,ARB,Topical Solution,400mcg,Gilead Sciences,GERD and peptic ulcer disease,Prescription
Pregabalin,Antibiotic,IV Infusion,50mcg,Merck,Moderate to severe pain management,Prescription
Zinc Oxide,Acne Treatment,Powder,5%,Sanofi,Minor wound infection prevention,Over-the-Counter
Benzoyl Peroxide,Skin Protectant,Chewable Tablet,5mg,Novartis,Heartburn and acid reflux,Over-the-Counter
Loperamide,Antiemetic,Capsule,250mg,3M Healthcare,Gas and bloating relief,Over-the-Counter
Docusate Sodium,Antiemetic,Capsule,1%,Sanofi,Gas and bloating relief,Over-the-Counter
Aspirin,Antacid,Liquid,325mg,GSK,Cough suppression,Over-the-Counter
Furosemide,ARB,Nasal Spray,75mg,Merck,Asthma and allergic rhinitis,Prescription
Amoxicillin,Antifungal,Patch,500mg,Boehringer Ingelheim,Hypertension and angina,Prescription
Clopidogrel,Anxiolytic/Benzodiazepine,Liquid,25mg,Amgen,Inflammation and autoimmune disorders,Prescription
Metoprolol,Diuretic,Patch,10mg,Boehringer Ingelheim,Type 2 diabetes management,Prescription
Escitalopram,Thyroid Hormone,Sublingual Tablet,1mg,Boehringer Ingelheim,Epilepsy and neuropathic pain,Prescription
Diphenhydramine,Antiflatulent,Capsule,400mg,Novartis,Acne treatment,Over-the-Counter
Docusate Sodium,Antacid/H2 Blocker,Capsule,100mg,GSK,GERD and peptic ulcer,Over-the-Counter
Furosemide,Antifungal,Tablet,100mcg,Amgen,Epilepsy and neuropathic pain,Prescription
Guaifenesin,Antiplatelet,Capsule,25mg,Chattem,Motion sickness and nausea,Over-the-Counter
Clindamycin,Beta Blocker,Patch,0.5mg,Merck,Anxiety and panic disorders,Prescription
Loratadine,Topical Corticosteroid,Chewable Tablet,2%,Novartis,Insomnia and sleep aid,Over-the-Counter
Metoprolol,Antidepressant/SSRI,Suppository,200mg,Bristol-Myers Squibb,Hypothyroidism treatment,Prescription
Loratadine,Expectorant,Spray,20mg,Novartis,Blood clot prevention,Over-the-Counter
Gabapentin,Corticosteroid,Sublingual Tablet,75mg,GlaxoSmithKline,High cholesterol management,Prescription
Dextromethorphan,Antiflatulent,Tablet,100mg,Bayer,Motion sickness and nausea,Over-the-Counter
Loratadine,Topical Anesthetic,Capsule,50mg,Novartis,Chest congestion and mucus relief,Over-the-Counter
Montelukast,Diuretic,Liquid,500mg,Amgen,Asthma and allergic rhinitis,Prescription
Albuterol,ARB,Patch,500mg,GlaxoSmithKline,Inflammation and autoimmune disorders,Prescription
Metronidazole,PPI,Capsule,0.25mg,Roche,Depression and anxiety disorders,Prescription
Pregabalin,Opioid Analgesic,Tablet,0.25mg,Pfizer,Depression and anxiety disorders,Prescription
Dextromethorphan,Antiflatulent,Patch,5%,Novartis,Minor wound infection prevention,Over-the-Counter
Montelukast,Anticonvulsant,Extended Release Tablet,75mg,Boehringer Ingelheim,Asthma and allergic rhinitis,Prescription
Aluminum Hydroxide,Cough Suppressant,Cream,325mg,Chattem,Minor cuts and skin protection,Over-the-Counter
Meclizine,Topical Anesthetic,Lozenge,200mg,Pfizer,Fungal skin infections,Over-the-Counter
Prednisone,Antifungal,IV Infusion,0.25mg,Roche,Hypertension and heart failure,Prescription
Oxycodone,Antiplatelet,Inhaler,50mg,Bristol-Myers Squibb,Heart attack and stroke prevention,Prescription
Bacitracin,Antiemetic,Lozenge,50mg,Unilever,Chest congestion and mucus relief,Over-the-Counter
Dexamethasone,Anticonvulsant,Patch,150mg,AstraZeneca,Type 2 diabetes management,Prescription
Escitalopram,Opioid Analgesic,Injection,400mcg,GlaxoSmithKline,Hypertension and angina,Prescription
Aluminum Hydroxide,Antacid/PPI,Tablet,10mg,Sanofi,Gas and bloating relief,Over-the-Counter
Docusate Sodium,Antiflatulent,Lozenge,200mg,Reckitt,Minor pain and itching relief,Over-the-Counter
Omeprazole,Antacid,Capsule,250mg,Unilever,Constipation relief,Over-the-Counter
Alprazolam,Diuretic,Suppository,1mg,Johnson & Johnson,Blood clot prevention,Prescription
Aluminum Hydroxide,Antidiarrheal,Ointment,5mg,Johnson & Johnson,GERD and peptic ulcer,Over-the-Counter
Aspirin,Acne Treatment,Ointment,125mg,Prestige Brands,Nasal congestion relief,Over-the-Counter
Omeprazole,Analgesic,Powder,325mg,3M Healthcare,Blood clot prevention,Over-the-Counter
Clindamycin,ACE Inhibitor,Extended Release Tablet,1000mg,GlaxoSmithKline,Fungal infections treatment,Prescription
Metronidazole,Leukotriene Inhibitor,Extended Release Tablet,1000mg,Boehringer Ingelheim,Epilepsy and neuropathic pain,Prescription
Escitalopram,Leukotriene Inhibitor,Capsule,0.25mg,Bristol-Myers Squibb,Depression and anxiety disorders,Prescription
Acetaminophen,Sleep Aid,Lozenge,50mg,Pfizer,Insomnia and sleep aid,Over-the-Counter
Benzoyl Peroxide,Antacid,Liquid,2%,GSK,Cough suppression,Over-the-Counter
Omeprazole,Topical Corticosteroid,Liquid,500mg,Reckitt,Acne treatment,Over-the-Counter
Meclizine,Decongestant,Powder,50mg,Pfizer,Constipation relief,Over-the-Counter
Clopidogrel,Antifungal,Patch,400mcg,Pfizer,Fungal infections treatment,Prescription
Docusate Sodium,Antiemetic,Cream,325mg,P&G,Skin inflammation and itching,Over-the-Counter
Clopidogrel,Bronchodilator,Liquid,150mg,Bristol-Myers Squibb,Bacterial infections treatment,Prescription
